word,pyleetspeak,minedLeet,BestMatches,correct
seborga,s3b0rga,['s3b0rga'],sEbOrga,yes
intternet,intternet,[],,
speeders,speeders,[],,
totalmente,totalm3nt3,['totalm3nt3'],totalmEntE,yes
momenta,m0m3nt4,['m0m3nt4'],mOmEntA,yes
orkin,0rk1n,['0rk1n'],OrkIn,yes
yof,yof,[],,
enviromental,env1romental,['env1romental'],environmental,no
pertinent,pert1nent,['pert1nent'],pertInent,yes
rhv,rhv,[],,
expansively,3xp4nsiv3ly,['3xp4nsiv3ly'],ExpAnsivEly,yes
charters,chart3rs,['chart3rs'],chartErs,yes
landsberg,l@ndsb3rg,['l@ndsb3rg'],lAndsbErg,yes
khc,khc,[],,
bordo,b0rd0,['b0rd0'],bArdS,no
yuzawa,y_z4w@,['y_z4w@'],yAzAwA,no
flamenco,fl4m3nc0,['fl4m3nc0'],flAmEncO,yes
openzone,openzone,[],,
campout,c@mp0ut,['c@mp0ut'],campout,yes
parola,p@r0l@,['p@r0l@'],pArOlA,yes
username,_s3rn@m3,['_s3rn@m3'],AsErnAmE,no
selfbondage,s3lfbond4g3,['s3lfbond4g3'],sElfbondAgE,yes
fistfuck,f1stf_ck,['f1stf_ck'],fIstfAck,no
jarema,jar3ma,['jar3ma'],karma,no
tinny,tinny,[],,
temari,t3m4r1,['t3m4r1'],tEmArI,yes
uprated,_pr@t3d,['_pr@t3d'],AprAtEd,no
conditioned,c0nd1t10n3d,['c0nd1t10n3d'],cOndItIOnEd,yes
hoped,h0p3d,['h0p3d'],hOpEd,yes
ajaria,4j4r1a,['4j4r1a'],AjArIa,yes
temperate,t3mp3r@te,['t3mp3r@te'],tEmpErAte,yes
paperboard,pap3rboard,['pap3rboard'],papErboard,yes
craghoppers,cragh0ppers,['cragh0ppers'],craghOppers,yes
thornfield,th0rnf13ld,['th0rnf13ld'],thOrnfIEld,yes
apodemus,4podemus,['4podemus'],podemos,no
weakens,w3@k3ns,['w3@k3ns'],wEAkEns,yes
llangadog,llangad0g,['llangad0g'],llangadOg,yes
presentence,pr3s3nt3nce,['pr3s3nt3nce'],prEsEntEnce,yes
arvada,@rv4da,['@rv4da'],ArvAda,yes
distintos,d1st1nt0s,['d1st1nt0s'],dIstIntOs,yes
rokk,r0kk,['r0kk'],rock,no
amphitheaters,@mph1th34t3rs,['@mph1th34t3rs'],AmphIthEAtErs,yes
animagic,@n1m@g1c,['@n1m@g1c'],AnImAgIc,yes
cadetblue,c4d3tbl_3,['c4d3tbl_3'],cAdEtblAE,no
airware,@1rw4r3,['@1rw4r3'],AIrwArE,yes
endometrium,3nd0m3tr1_m,['3nd0m3tr1_m'],EndOmEtrIAm,no
hydroperiod,hydr0p3r10d,['hydr0p3r10d'],hydrOpErIOd,yes
unseemly,_ns33mly,['_ns33mly'],AnsEEmly,no
muricata,m_r1c@t@,['m_r1c@t@'],mArIcAtA,no
tlingit,tl1ng1t,['tl1ng1t'],tlIngIt,yes
newcom,newc0m,['newc0m'],newcOm,yes
kpc,kpc,[],,
closson,cl0ss0n,['cl0ss0n'],clOssOn,yes
meail,m341l,['m341l'],mEAIl,yes
nnt,nnt,[],,
schweden,schweden,[],,
membersmembers,m3mb3rsmemb3rs,['m3mb3rsmemb3rs'],mEmbErsmembErs,yes
surfmex,surfmex,[],,
subhash,subh@sh,['subh@sh'],subhAsh,yes
jalalabad,j4l4l4bad,['j4l4l4bad'],jAlAlAbad,yes
algorithmica,@lg0r1thm1c@,['@lg0r1thm1c@'],AlgOrIthmIcA,yes
downtowner,d0wnt0wn3r,['d0wnt0wn3r'],dOwntOwnEr,yes
wensley,w3nsl3y,['w3nsl3y'],wEnslEy,yes
simi,s1m1,['s1m1'],kimi,no
perphenazine,p3rph3naz1ne,['p3rph3naz1ne'],pErphEnazIne,yes
reentered,r33nt3red,['r33nt3red'],rEEntEred,yes
haim,h@1m,['h@1m'],hARm,no
conomic,c0n0m1c,['c0n0m1c'],cOnOmIc,yes
permitted,perm1tted,['perm1tted'],permItted,yes
grrreat,grrr3@t,['grrr3@t'],grrrEAt,yes
broadbridge,bro4dbridge,['bro4dbridge'],broAdbridge,yes
agris,@gr1s,['@gr1s'],OgrEs,no
prospects,prosp3cts,['prosp3cts'],prospEcts,yes
incriminated,incr1m1n@t3d,['incr1m1n@t3d'],incrImInAtEd,yes
leunig,l3un1g,['l3un1g'],lung,no
yergeau,y3rg3@_,['y3rg3@_'],yErgEAA,no
assertive,ass3rt1v3,['ass3rt1v3'],assErtIvE,yes
cnsl,cnsl,[],,
atwt,@twt,['@twt'],stat,no
imerge,1m3rg3,['1m3rg3'],ImErgE,yes
eroric,3r0r1c,['3r0r1c'],ErOrIc,yes
headliner,h34dl1n3r,['h34dl1n3r'],hEAdlInEr,yes
torchia,t0rch14,['t0rch14'],tOrchIA,yes
refreshed,r3fresh3d,['r3fresh3d'],rEfreshEd,yes
camassia,c4m4ssia,['c4m4ssia'],cAmAssia,yes
fortitude,f0rtit_d3,['f0rtit_d3'],fOrtitAdE,no
unobtainable,_n0bt4in@ble,['_n0bt4in@ble'],AnObtAinAble,no
twinge,tw1ng3,['tw1ng3'],twinge,yes
erikson,3r1ks0n,['3r1ks0n'],ErIksOn,yes
longbourn,l0ngb0urn,['l0ngb0urn'],lOngbOurn,yes
descending,d3sc3nd1ng,['d3sc3nd1ng'],dEscEndIng,yes
diamanti,d14m@nt1,['d14m@nt1'],dIAmAntI,yes
lazylaces,l@zyl@c3s,['l@zyl@c3s'],lAzylAcEs,yes
wwwdogs,wwwd0gs,['wwwd0gs'],wwwdOgs,yes
warrensburg,w@rr3nsb_rg,['w@rr3nsb_rg'],wArrEnsbArg,no
airstation,@1rst@t10n,['@1rst@t10n'],AIrstAtIOn,yes
occupation,0cc_pat10n,['0cc_pat10n'],OccApatIOn,no
artistes,@rtist3s,['@rtist3s'],ArtistEs,yes
keyanalyze,key@n@lyze,['key@n@lyze'],keyAnAlyze,yes
nocom,n0c0m,['n0c0m'],nOcOm,yes
inlinks,1nl1nks,['1nl1nks'],InlInks,yes
multipolar,mult1p0lar,['mult1p0lar'],multIpOlar,yes
satrap,s@tr@p,['s@tr@p'],strip,no
parad,parad,[],,
godsmack,g0dsm4ck,['g0dsm4ck'],gOdsmAck,yes
archaeologists,4rch43ologists,['4rch43ologists'],ArchAEologists,yes
wwwuglypeople,www_glyp30pl3,['www_glyp30pl3'],wwwAglypEOplE,no
oguri,og_r1,['og_r1'],ogre,no
astronomers,4str0n0m3rs,['4str0n0m3rs'],AstrOnOmErs,yes
breakfront,br3@kfr0nt,['br3@kfr0nt'],brEAkfrOnt,yes
shiatsu,sh14tsu,['sh14tsu'],shIAtsu,yes
wordmark,w0rdm4rk,['w0rdm4rk'],wOrdmArk,yes
bridie,br1d1e,['br1d1e'],brIdLe,no
bolkcom,b0lkc0m,['b0lkc0m'],bOlkcOm,yes
crynodeb,cryn0d3b,['cryn0d3b'],crynOdEb,yes
sleepers,sl33pers,['sl33pers'],slEEpers,yes
eurofront,3_r0fr0nt,['3_r0fr0nt'],EArOfrOnt,no
ahpr,4hpr,['4hpr'],appr,no
ticor,t1c0r,['t1c0r'],tIcOr,yes
bowser,bows3r,['bows3r'],bowler,no
palladian,pall@di@n,['pall@di@n'],pallAdiAn,yes
sharpvision,sh@rpv1s10n,['sh@rpv1s10n'],shArpvIsIOn,yes
gottman,g0ttman,['g0ttman'],gOttman,yes
principio,pr1nc1pi0,['pr1nc1pi0'],prIncIpiO,yes
troposphere,troposph3r3,['troposph3r3'],troposphErE,yes
bahnisch,bahn1sch,['bahn1sch'],bahnIsch,yes
cyo,cy0,['cy0'],cy,no
mesmer,m3sm3r,['m3sm3r'],mEsmEr,yes
atapi,4t4p1,['4t4p1'],AtApI,yes
lexicons,l3x1c0ns,['l3x1c0ns'],lExIcOns,yes
cafd,c4fd,['c4fd'],card,no
pradera,pr4der4,['pr4der4'],prudery,no
ojibwe,0j1bw3,['0j1bw3'],OjIbwE,yes
ruest,r_3st,['r_3st'],rOAst,no
unilang,_nil@ng,['_nil@ng'],AnilAng,no
interphex,1nt3rph3x,['1nt3rph3x'],IntErphEx,yes
wwwlexmarkcom,wwwl3xm@rkc0m,['wwwl3xm@rkc0m'],wwwlExmArkcOm,yes
devdas,d3vd@s,['d3vd@s'],devdas,yes
iz,1z,['1z'],Iz,yes
isrequestfocusenabled,1sr3q_3stfoc_senabl3d,[],,
grandstanding,gr4ndst@nding,['gr4ndst@nding'],grandstanding,yes
sexu,s3x_,['s3x_'],sExY,no
hitched,h1tch3d,['h1tch3d'],hItchEd,yes
loftin,l0ft1n,['l0ft1n'],lOftIn,yes
phpbugtracker,phpbugtr4ck3r,['phpbugtr4ck3r'],phpbugtrAckEr,yes
nongovernmental,n0ng0vernment@l,['n0ng0vernment@l'],nOngOvernmentAl,yes
defogger,d3f0gg3r,['d3f0gg3r'],dEfOggEr,yes
pistolas,pist0las,['pist0las'],pistols,no
vaguer,v@g_3r,['v@g_3r'],vAgAEr,no
segala,s3gala,['s3gala'],gala,no
helmers,helmers,[],,
meirelles,m31r3lles,['m31r3lles'],mEIrElles,yes
pompino,p0mp1n0,['p0mp1n0'],pOmpInO,yes
aldaily,@ld@1ly,['@ld@1ly'],AldAIly,yes
giannotti,g1@nn0tt1,['g1@nn0tt1'],gIAnnOttI,yes
ovt,0vt,['0vt'],out,no
honeycombs,h0n3yc0mbs,['h0n3yc0mbs'],hOnEycOmbs,yes
ngayon,ng4y0n,['ng4y0n'],ngAyOn,yes
emmons,emm0ns,['emm0ns'],emma's,no
decoupled,d3c0upl3d,['d3c0upl3d'],dEcOuplEd,yes
profiteroles,profit3rol3s,['profit3rol3s'],profiteroles,yes
caelndar,c@3lnd4r,['c@3lnd4r'],cAElndAr,yes
aswad,@sw@d,['@sw@d'],AswAd,yes
cupressus,c_press_s,['c_press_s'],cApressAs,no
homeresults,h0m3r3s_lts,['h0m3r3s_lts'],hOmErEsAlts,no
undivided,_nd1v1d3d,['_nd1v1d3d'],AndIvIdEd,no
greenham,gr33nham,['gr33nham'],grEEnham,yes
pizzaz,p1zz4z,['p1zz4z'],pIzzAz,yes
predicate,pred1c4te,['pred1c4te'],predIcAte,yes
chadbourne,ch4dbo_rne,['ch4dbo_rne'],chAdboArne,no
resovoir,res0v01r,['res0v01r'],resOvOIr,yes
katalina,k@t@l1na,['k@t@l1na'],kAtAlIna,yes
leane,l3@n3,['l3@n3'],lEAnE,yes
newgals,n3wg@ls,['n3wg@ls'],nEwgAls,yes
terna,t3rn@,['t3rn@'],tErnS,no
vinda,v1nd@,['v1nd@'],vende,no
normalise,n0rm@l1s3,['n0rm@l1s3'],nOrmAlIsE,yes
flavay,fl4v@y,['fl4v@y'],flAvAy,yes
baar,b44r,['b44r'],bEAr,no
xpander,xp@nd3r,['xp@nd3r'],xpAndEr,yes
wattyl,w@ttyl,['w@ttyl'],witty,no
newfs,n3wfs,['n3wfs'],news,no
desertion,d3s3rt10n,['d3s3rt10n'],dEsErtIOn,yes
horizons,h0r1z0ns,['h0r1z0ns'],hOrIzOns,yes
nightwish,n1ghtw1sh,['n1ghtw1sh'],nIghtwIsh,yes
jweves,jweves,[],,
pyo,pyo,[],,
markoff,m4rk0ff,['m4rk0ff'],mArkOff,yes
gour,g0ur,['g0ur'],your,no
breuil,br3_1l,['br3_1l'],brEAIl,no
nazir,n4zir,['n4zir'],nazir,yes
fabuland,f@b_l4nd,['f@b_l4nd'],fAbAlAnd,no
tuemes,t_3m3s,['t_3m3s'],tAEmEs,no
backbonefast,b@ckb0n3f4st,['b@ckb0n3f4st'],bAckbOnEfAst,yes
vtkcell,vtkcell,[],,
theodore,theodore,[],,
rascal,r4sc4l,['r4sc4l'],rAscAl,yes
caymmi,c@ymm1,['c@ymm1'],cAymmI,yes
clark,cl@rk,['cl@rk'],clArk,yes
roamers,r04m3rs,['r04m3rs'],rOAmErs,yes
hollande,h0llande,['h0llande'],holland,no
glazerman,glaz3rman,['glaz3rman'],glazErman,yes
lotr,lotr,[],,
litwrotica,l1twrot1c4,['l1twrot1c4'],lItwrotIcA,yes
interlink,1nterl1nk,['1nterl1nk'],InterlInk,yes
valens,valens,[],,
blethen,bl3th3n,['bl3th3n'],blEthEn,yes
eltima,3lt1m4,['3lt1m4'],EltImA,yes
zager,z4g3r,['z4g3r'],zAgEr,yes
digitalisation,d1g1talisat10n,['d1g1talisat10n'],dIgItalisatIOn,yes
tapas,tapas,[],,
rockwool,r0ckwo0l,['r0ckwo0l'],rOckwoOl,yes
terrorism,t3rr0r1sm,['t3rr0r1sm'],tErrOrIsm,yes
bhan,bh@n,['bh@n'],than,no
kinzler,k1nzl3r,['k1nzl3r'],kInzlEr,yes
trackwork,trackw0rk,['trackw0rk'],trackwOrk,yes
heteros,heter0s,['heter0s'],heteros,yes
navpers,n@vp3rs,['n@vp3rs'],nAvpErs,yes
subgenus,s_bg3n_s,['s_bg3n_s'],sAbgEnAs,no
piacenza,p1@cenz4,['p1@cenz4'],pIAcenzA,yes
vistor,v1st0r,['v1st0r'],vaster,no
prospectivity,pr0sp3ct1v1ty,['pr0sp3ct1v1ty'],prOspEctIvIty,yes
mesirow,m3s1r0w,['m3s1r0w'],mEsIrOw,yes
onlinebuy,0nlinebuy,['0nlinebuy'],Onlinebuy,yes
deltagraph,d3lt@gr@ph,['d3lt@gr@ph'],dEltAgrAph,yes
emloyment,eml0yment,['eml0yment'],employment,no
bramblett,brambl3tt,['brambl3tt'],bramblEtt,yes
onassis,0n@ss1s,['0n@ss1s'],OnAssIs,yes
outdoing,0_td01ng,['0_td01ng'],OAtdOIng,no
twocolumn,tw0c0l_mn,['tw0c0l_mn'],twOcOlAmn,no
canin,c@n1n,['c@n1n'],canal,no
triadtechtalk,tr14dt3cht4lk,['tr14dt3cht4lk'],trIAdtEchtAlk,yes
internati,int3rn@ti,['int3rn@ti'],intErnAti,yes
bowa,bow@,['bow@'],bowS,no
senile,s3n1l3,['s3n1l3'],sEnIlE,yes
dandenongs,dand3n0ngs,['dand3n0ngs'],dandEnOngs,yes
fechner,f3chn3r,['f3chn3r'],fEchnEr,yes
airbrushed,41rbr_shed,['41rbr_shed'],AIrbrAshed,no
attanasio,att4n4s10,['att4n4s10'],attAnAsIO,yes
toxikologie,t0x1kol0g13,['t0x1kol0g13'],tOxIkolOgIE,yes
amedeo,@mede0,['@mede0'],AmedeO,yes
pettingill,pett1ng1ll,['pett1ng1ll'],pettIngIll,yes
num,n_m,['n_m'],nAm,no
shayler,sh4yl3r,['sh4yl3r'],shAylEr,yes
viscera,v1sc3r@,['v1sc3r@'],vIscErA,yes
weatherization,weather1zat1on,['weather1zat1on'],weatherIzatIon,yes
wwwfirehotquotes,wwwf1reh0tq_0tes,[],,
aquifolium,aq_1f0l1_m,['aq_1f0l1_m'],aqAIfOlIAm,no
grandville,gr4ndv1ll3,['gr4ndv1ll3'],grAndvIllE,yes
verzamelingen,v3rz@mel1ng3n,['v3rz@mel1ng3n'],vErzAmelIngEn,yes
dvdremake,dvdr3m@k3,['dvdr3m@k3'],dvdrEmAkE,yes
omgeo,omgeo,[],,
lwork,lw0rk,['lw0rk'],work,no
noreaga,n0re@g4,['n0re@g4'],nOreAgA,yes
valmet,valm3t,['valm3t'],valet,no
bsktbll,bsktbll,[],,
fantin,f4nt1n,['f4nt1n'],fEntOn,no
thymol,thym0l,['thym0l'],thymus,no
phenylenediamine,ph3nyl3n3d14m1ne,[],,
hawiian,h@w114n,['h@w114n'],hAwIIAn,yes
mediablog,m3d1@bl0g,['m3d1@bl0g'],mEdIAblOg,yes
yanceyville,y@nc3yv1ll3,['y@nc3yv1ll3'],yAncEyvIllE,yes
snelle,sn3ll3,['sn3ll3'],snEllE,yes
veracity,ver4c1ty,['ver4c1ty'],verAcIty,yes
turkle,turkl3,['turkl3'],turtle,no
shool,sh00l,['sh00l'],shOAl,no
score,sc0r3,['sc0r3'],scOrE,yes
epoxied,3p0xi3d,['3p0xi3d'],EpOxiEd,yes
hemispheres,h3m1sph3res,['h3m1sph3res'],hEmIsphEres,yes
serenoa,s3r3n0a,['s3r3n0a'],sErEnOa,yes
intermingle,1nt3rm1ngl3,['1nt3rm1ngl3'],IntErmInglE,yes
iscove,1sc0ve,['1sc0ve'],IscOve,yes
hurco,h_rc0,['h_rc0'],hArcO,no
thorner,th0rn3r,['th0rn3r'],thOrnEr,yes
rekids,r3kids,['r3kids'],raids,no
bejesus,b3j3s_s,['b3j3s_s'],bEjEsAs,no
fireline,f1rel1ne,['f1rel1ne'],fIrelIne,yes
inertia,1n3rt1a,['1n3rt1a'],InErtIa,yes
signees,s1gn33s,['s1gn33s'],sIgnEEs,yes
skinfold,sk1nfold,['sk1nfold'],skInfold,yes
chikyu,ch1ky_,['ch1ky_'],chIkyA,no
databg,d4t@bg,['d4t@bg'],dAtAbg,yes
ryu,ry_,['ry_'],ryE,no
ixbiff,1xb1ff,['1xb1ff'],IxbIff,yes
cumbo,cumb0,['cumb0'],jumbo,no
sentido,s3ntid0,['s3ntid0'],sEntidO,yes
goodnight,g00dn1ght,['g00dn1ght'],gOOdnIght,yes
monophone,m0n0phone,['m0n0phone'],mOnOphone,yes
fthrow,fthr0w,['fthr0w'],throw,no
baga,b@g4,['b@g4'],bAgS,no
discarica,d1sc4r1c@,['d1sc4r1c@'],dIscArIcA,yes
gritz,gritz,[],,
forfaits,f0rfa1ts,['f0rfa1ts'],fOrfaIts,yes
oversized,0vers1zed,['0vers1zed'],OversIzed,yes
destroyers,d3str0y3rs,['d3str0y3rs'],dEstrOyErs,yes
aow,40w,['40w'],how,no
bifida,b1f1da,['b1f1da'],bIfIda,yes
alimentos,alim3ntos,['alim3ntos'],alimEntos,yes
hydrophilicity,hydroph1l1city,['hydroph1l1city'],hydrophIlIcity,yes
winnick,w1nn1ck,['w1nn1ck'],wInnIck,yes
cantara,c4nt4ra,['c4nt4ra'],contra,no
emxico,3mxic0,['3mxic0'],EmxicO,yes
yesudas,y3s_d4s,['y3s_d4s'],yEsAdAs,no
uspscom,_spsc0m,['_spsc0m'],AspscOm,no
condors,c0nd0rs,['c0nd0rs'],cOndOrs,yes
mcilwaine,mc1lw@1ne,['mc1lw@1ne'],mcIlwAIne,yes
jip,jip,[],,
hungriest,h_ngr13st,['h_ngr13st'],hAngrIEst,no
litman,l1tman,['l1tman'],hitman,no
inhibitor,inh1b1t0r,['inh1b1t0r'],inhIbItOr,yes
salinity,s4l1n1ty,['s4l1n1ty'],sAlInIty,yes
regas,r3g@s,['r3g@s'],rages,no
whatsoever,wh4ts03v3r,['wh4ts03v3r'],whAtsOEvEr,yes
mayavi,m4y@vi,['m4y@vi'],mAyAvi,yes
halbert,h@lbert,['h@lbert'],herbert,no
intermodulation,1nt3rm0dul@t10n,['1nt3rm0dul@t10n'],IntErmOdulAtIOn,yes
huid,h_1d,['h_1d'],had,no
divison,divis0n,['divis0n'],division,no
villas,v1ll@s,['v1ll@s'],vIllAs,yes
geza,geza,[],,
nonbonded,n0nb0nd3d,['n0nb0nd3d'],nOnbOndEd,yes
loyalty,l0y4lty,['l0y4lty'],lOyAlty,yes
zyrtec,zyrt3c,['zyrt3c'],zyrtEc,yes
solutes,s0l_t3s,['s0l_t3s'],sOlAtEs,no
firn,f1rn,['f1rn'],fErn,no
yoou,yoo_,['yoo_'],yooN,no
shouts,sh0_ts,['sh0_ts'],shoes,no
genotype,g3n0typ3,['g3n0typ3'],gEnOtypE,yes
philverney,ph1lverney,['ph1lverney'],phIlverney,yes
juliaetta,juli@3tt4,['juli@3tt4'],juliAEttA,yes
maland,m4l@nd,['m4l@nd'],mAlAnd,yes
pleaseth,ple4seth,['ple4seth'],pleaseth,yes
hwndlg,hwndlg,[],,
kobler,k0bl3r,['k0bl3r'],kOblEr,yes
schwetzingen,schw3tz1ng3n,['schw3tz1ng3n'],schwEtzIngEn,yes
insolito,1ns0l1t0,['1ns0l1t0'],InsOlItO,yes
pendennis,p3nd3nn1s,['p3nd3nn1s'],pEndEnnIs,yes
yojimbo,y0j1mb0,['y0j1mb0'],yOjImbO,yes
electronically,3l3ctron1c@lly,['3l3ctron1c@lly'],ElEctronIcAlly,yes
enticed,3nt1c3d,['3nt1c3d'],EntIcEd,yes
tieu,t13_,['t13_'],tIEA,no
detests,d3t3sts,['d3t3sts'],detests,yes
msls,msls,[],,
abdollah,@bd0ll4h,['@bd0ll4h'],AbdOllAh,yes
shirley,sh1rl3y,['sh1rl3y'],shIrlEy,yes
donyo,donyo,[],,
shb,shb,[],,
similes,simil3s,['simil3s'],similes,yes
casillas,c@s1ll@s,['c@s1ll@s'],cAsIllAs,yes
shukhov,sh_kh0v,['sh_kh0v'],shAkhOv,no
alkene,@lkene,['@lkene'],Alkene,yes
inconsistancies,1nc0nsist4nc13s,['1nc0nsist4nc13s'],IncOnsistAncIEs,yes
kinsham,k1nsh4m,['k1nsh4m'],kInshAm,yes
infostructure,inf0str_ct_r3,['inf0str_ct_r3'],infOstrActArE,no
whf,whf,[],,
dropoff,dr0p0ff,['dr0p0ff'],drOpOff,yes
llygad,llyg4d,['llyg4d'],llygAd,yes
jessup,j3ss_p,['j3ss_p'],jEssAp,no
arrowpoint,@rr0wp01nt,['@rr0wp01nt'],ArrOwpOInt,yes
pressweatheronline,pressw3@th3r0nl1n3,[],,
iroko,1r0k0,['1r0k0'],IrOkO,yes
writeboard,wr1t3bo4rd,['wr1t3bo4rd'],wrItEboArd,yes
utsa,_ts4,['_ts4'],ItsY,no
cleverly,cl3v3rly,['cl3v3rly'],clEvErly,yes
kevon,k3v0n,['k3v0n'],kEvIn,no
latins,l@t1ns,['l@t1ns'],lAtIns,yes
telmo,telm0,['telm0'],thelma,no
potteg,p0tt3g,['p0tt3g'],pOttEg,yes
zosimus,z0s1m_s,['z0s1m_s'],zOsImAs,no
btf,btf,[],,
gamefinder,g@mef1nder,['g@mef1nder'],gAmefInder,yes
elsey,3ls3y,['3ls3y'],ElsEy,yes
dentista,d3nt1st4,['d3nt1st4'],dEntIstA,yes
mishaps,m1sh@ps,['m1sh@ps'],mIshAps,yes
jonni,jonni,[],,
evalm,3v4lm,['3v4lm'],EvAlm,yes
labeled,lab3l3d,['lab3l3d'],labElEd,yes
flyte,flyt3,['flyt3'],flute,no
snb,snb,[],,
spirale,sp1r@l3,['sp1r@l3'],spIrAlE,yes
tresa,tr3s4,['tr3s4'],trEsS,no
vegicaps,v3g1c4ps,['v3g1c4ps'],vEgIcAps,yes
sblog,sbl0g,['sbl0g'],slug,no
resorbable,res0rbable,['res0rbable'],resOrbable,yes
conter,c0nt3r,['c0nt3r'],cAntEr,no
pardosa,p4rdos4,['p4rdos4'],pArdosA,yes
fory,fory,[],,
ndq,ndq,[],,
insinuated,1ns1n_4t3d,['1ns1n_4t3d'],InsInAAtEd,no
embl,3mbl,['3mbl'],emil,no
seguintes,s3g_1nt3s,['s3g_1nt3s'],sEgAIntEs,no
eyeon,3y30n,['3y30n'],EyEOn,yes
zabol,z@b0l,['z@b0l'],zAbOl,yes
shilin,shilin,[],,
hafey,h4f3y,['h4f3y'],hEfTy,no
bestor,best0r,['best0r'],bestow,no
rehearse,reh3@rs3,['reh3@rs3'],rehEArsE,yes
imagestation,im4g3st@ti0n,['im4g3st@ti0n'],imAgEstAtiOn,yes
mannan,m4nn4n,['m4nn4n'],mAnnAn,yes
mayenne,m4y3nn3,['m4y3nn3'],mAyEnnE,yes
mornings,m0rnings,['m0rnings'],mOrnings,yes
ozdemir,0zd3m1r,['0zd3m1r'],OzdEmIr,yes
novedades,noved@des,['noved@des'],novedAdes,yes
activewear,4ct1v3w34r,['4ct1v3w34r'],ActIvEwEAr,yes
mcdonell,mcdon3ll,['mcdon3ll'],mcdonEll,yes
vcom,vc0m,['vc0m'],scam,no
historische,h1st0r1sch3,['h1st0r1sch3'],hIstOrIschE,yes
epaulettes,3pa_lett3s,['3pa_lett3s'],EpaAlettEs,no
donated,don4ted,['don4ted'],donAted,yes
imagezoo,1m@g3z00,['1m@g3z00'],ImAgEzOO,yes
biermann,b13rm@nn,['b13rm@nn'],bIErmAnn,yes
voila,v01l4,['v01l4'],vOIlA,yes
arbitrating,@rb1tr@t1ng,['@rb1tr@t1ng'],ArbItrAtIng,yes
centralism,centr4l1sm,['centr4l1sm'],centrAlIsm,yes
alaskaalaska,alask4@l4sk@,['alask4@l4sk@'],alaskAAlAskA,yes
cflcc,cflcc,[],,
conceptualized,c0nc3pt_4l1z3d,['c0nc3pt_4l1z3d'],cOncEptAAlIzEd,no
ineel,1n33l,['1n33l'],InEEl,yes
nhd,nhd,[],,
backlist,b4ckl1st,['b4ckl1st'],bAcklIst,yes
ccps,ccps,[],,
ceec,c33c,['c33c'],croc,no
lovitt,l0v1tt,['l0v1tt'],lOvItt,yes
vreeland,vreel@nd,['vreel@nd'],vreelAnd,yes
buerosex,b_er0sex,['b_er0sex'],bAerOsex,no
foxtrot,f0xtr0t,['f0xtr0t'],fOxtrOt,yes
giftset,g1fts3t,['g1fts3t'],gIftsEt,yes
shahrukh,sh@hr_kh,['sh@hr_kh'],shAhrUkh,yes
puppetmaster,pupp3tm@st3r,['pupp3tm@st3r'],puppEtmAstEr,yes
gogeo,gog3o,['gog3o'],gogo,no
clown,cl0wn,['cl0wn'],clOwn,yes
parables,p4r@bl3s,['p4r@bl3s'],pArAblEs,yes
excepted,excepted,[],,
theodosia,th30d0s14,['th30d0s14'],thEOdOsIA,yes
gocr,g0cr,['g0cr'],goir,no
yams,y4ms,['y4ms'],yAms,yes
nourison,n0_ris0n,['n0_ris0n'],nOArisOn,no
plitude,pl1t_d3,['pl1t_d3'],plItAdE,no
rimfire,r1mf1r3,['r1mf1r3'],rImfIrE,yes
clb,clb,[],,
kisarazu,k1s4r4zu,['k1s4r4zu'],kIsArAzu,yes
saiki,s41k1,['s41k1'],sAIkI,yes
cannulated,c4nn_l4t3d,['c4nn_l4t3d'],cAnnAlAtEd,no
bushes,b_sh3s,['b_sh3s'],bAshEs,no
dynamit,dyn4mit,['dyn4mit'],dynamite,no
tulagi,tul@g1,['tul@g1'],tulAgI,yes
aft,aft,[],,
heave,h3av3,['h3av3'],hEavE,yes
dessie,d3ss13,['d3ss13'],dEssIE,yes
vanpooling,v@np00l1ng,['v@np00l1ng'],vAnpOOlIng,yes
linco,linc0,['linc0'],linc,no
ringo,r1ng0,['r1ng0'],rIngO,yes
vedder,v3dd3r,['v3dd3r'],vEddEr,yes
destabilising,d3st@bilising,['d3st@bilising'],dEstAbilising,yes
smits,sm1ts,['sm1ts'],suits,no
shoda,shoda,[],,
wisin,wisin,[],,
centrist,c3ntr1st,['c3ntr1st'],cOntrAst,no
gerwin,g3rw1n,['g3rw1n'],gErwIn,yes
dbest,db3st,['db3st'],durst,no
sowder,s0wd3r,['s0wd3r'],sOwdEr,yes
konnte,konnte,[],,
isocxx,1s0cxx,['1s0cxx'],IsOcxx,yes
echp,echp,[],,
fooles,fool3s,['fool3s'],fools,no
benc,b3nc,['b3nc'],bend,no
barraged,b4rr@ged,['b4rr@ged'],bArrAged,yes
nysaa,nys@@,['nys@@'],nysSA,no
fivesign,f1ves1gn,['f1ves1gn'],fIvesIgn,yes
badmaxbusy,b@dm4xb_sy,['b@dm4xb_sy'],bAdmAxbAsy,no
joined,j01n3d,['j01n3d'],jOInEd,yes
pulverised,pulv3r1s3d,['pulv3r1s3d'],pulvErIsEd,yes
clipagt,cl1p@gt,['cl1p@gt'],clIpAgt,yes
ripcord,ripcord,[],,
cheevers,ch3ev3rs,['ch3ev3rs'],chEevErs,yes
packman,packman,[],,
prijzen,prijz3n,['prijz3n'],prijzEn,yes
tonge,t0ng3,['t0ng3'],tongue,no
rais,r@1s,['r@1s'],rats,no
brirney,brirney,[],,
